Timestamp,Rate your musical knowledge and expertise,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?,Can you tap along to the piece?,How musically pleasing do you find the melody?
2019/05/13 12:00:18 PM GMT+2,1,4,3,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2019/05/13 11:38:40 AM GMT+2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2019/05/13 12:25:17 PM GMT+2,3,5,2,5,3,5,2,5,2,5,2,5,2,5,2,5,2,5,3,5,3,5,3,5,3,5,2,5,2,5,3,5,2,5,4,5,3,5,2,5,3
2019/05/13 2:18:16 PM GMT+2,1,5,3,5,2,5,3,5,4,5,3,5,2,5,3,5,2,5,3,5,2,5,3,5,2,5,1,5,1,5,3,5,2,5,2,5,3,5,3,5,2
2019/05/13 2:50:38 PM GMT+2,1,3,4,4,4,4,3,2,3,4,3,4,3,3,3,2,3,3,4,2,2,4,1,4,4,4,3,3,2,4,4,2,3,4,3,4,4,2,3,2,3
2019/05/13 2:52:35 PM GMT+2,1,2,3,4,4,3,3,5,4,4,4,2,2,3,4,3,4,5,4,5,3,4,3,4,3,5,3,2,4,4,5,4,5,5,4,5,4,5,3,3,3
2019/05/13 3:33:17 PM GMT+2,0,2,3,4,3,5,2,4,2,2,4,2,2,4,2,3,2,4,2,2,3,3,4,3,4,2,4,2,2,4,4,2,2,4,2,3,2,3,2,1,4
2019/05/13 6:31:03 PM GMT+2,1,3,2,4,4,4,3,4,4,4,4,4,2,3,3,3,2,4,4,4,3,3,4,4,3,3,3,3,3,3,4,2,2,3,3,3,2,3,3,3,2
2019/05/13 6:38:41 PM GMT+2,4,4,2,5,4,4,1,5,2,4,2,4,2,3,2,4,1,5,5,3,1,5,3,2,2,3,2,3,1,5,5,3,2,5,4,5,3,3,1,3,1
2019/05/13 7:00:36 PM GMT+2,3,3,3,5,4,5,2,4,4,5,3,5,2,5,3,5,4,5,4,5,4,5,5,5,5,5,4,4,5,5,3,5,5,5,5,5,5,4,2,5,4
2019/05/13 8:00:17 PM GMT+2,0,1,1,5,4,4,3,1,2,5,5,5,3,3,4,2,4,5,5,4,3,4,3,3,1,2,3,2,2,5,4,2,4,4,5,3,3,2,2,2,2
2019/05/13 9:02:23 PM GMT+2,2,4,4,5,2,4,3,5,4,4,3,4,2,5,2,5,3,5,4,4,3,5,4,4,2,5,2,3,4,5,4,4,4,3,3,3,4,3,3,4,3
2019/05/13 10:20:46 PM GMT+2,1,1,1,3,4,1,3,2,3,4,2,4,3,2,2,3,4,3,4,4,3,4,4,4,3,3,2,3,3,4,5,4,4,5,5,4,5,4,3,4,4
2019/05/13 10:30:51 PM GMT+2,0,5,4,5,5,3,4,3,3,4,4,5,3,3,4,3,2,4,3,2,4,4,3,3,2,2,4,2,4,4,4,1,3,2,4,3,3,1,3,2,3
2019/05/14 2:11:12 AM GMT+2,4,5,3,5,2,5,1,5,3,5,3,5,2,5,4,4,4,5,4,5,1,5,3,5,2,5,3,5,3,5,4,4,3,5,3,3,3,5,4,4,2
2019/05/14 5:59:12 AM GMT+2,0,3,3,3,2,3,3,4,4,4,4,4,3,4,4,4,4,5,5,4,5,5,5,5,5,4,4,4,4,4,3,5,5,5,5,4,4,4,3,3,3
2019/05/15 10:55:03 AM GMT+2,2,3,4,5,4,5,5,5,5,5,5,5,3,5,2,5,4,5,4,5,5,5,4,5,3,5,3,5,4,5,5,5,2,5,2,5,2,5,3,5,1
2019/05/15 11:39:31 AM GMT+2,1,3,1,5,4,5,4,5,3,5,4,5,3,5,5,5,2,5,5,5,1,5,1,5,4,5,4,5,5,5,5,5,5,5,4,5,3,4,3,5,2
2019/05/15 2:49:15 PM GMT+2,0,2,4,5,4,5,2,2,2,3,2,2,1,3,3,4,3,4,5,5,4,1,2,4,3,5,3,4,3,5,5,3,3,4,5,2,3,4,4,2,2
2019/05/15 5:26:41 PM GMT+2,3,3,2,5,3,5,1,5,4,5,5,2,1,4,3,5,4,5,5,5,2,5,5,4,3,5,4,5,4,5,5,5,4,5,4,5,5,5,3,4,3
2019/05/15 7:44:08 PM GMT+2,2,5,5,5,5,5,4,5,3,5,5,5,3,5,4,5,3,5,5,5,2,5,2,5,3,5,4,5,3,5,4,5,4,5,5,5,4,5,4,5,3
2019/05/16 2:41:37 PM GMT+2,0,4,4,5,5,4,3,4,3,3,2,2,2,2,2,3,3,4,4,3,3,3,3,2,2,2,3,3,3,4,4,3,3,5,4,4,3,3,3,3,3
2019/05/16 2:42:16 PM GMT+2,1,3,2,5,4,2,3,5,5,5,4,5,4,5,3,4,5,4,4,3,3,5,4,5,2,5,5,3,4,4,5,4,3,4,4,5,5,5,5,4,4
2019/05/18 4:54:32 AM GMT+2,4,5,2,5,4,5,3,5,4,5,2,5,2,5,3,5,2,5,4,5,3,5,5,5,5,5,2,4,2,5,5,5,3,5,3,5,4,5,2,5,2
2019/05/18 3:06:01 PM GMT+2,2,4,2,5,3,5,1,5,2,5,2,5,2,5,4,5,3,5,5,5,2,5,3,5,2,5,3,5,3,5,4,5,2,5,4,5,4,5,2,5,3
2019/05/18 8:38:58 PM GMT+2,2,2,2,3,3,2,4,3,3,2,3,3,4,3,4,3,4,4,5,4,4,3,5,4,3,4,3,4,4,4,3,5,4,4,3,4,4,4,3,4,3
2019/05/18 9:58:16 PM GMT+2,2,4,3,4,4,5,4,5,3,5,3,5,4,5,4,5,4,5,4,5,3,5,4,5,3,5,3,5,3,5,4,5,3,5,4,5,4,5,2,5,2
2019/05/19 11:06:33 AM GMT+2,1,2,4,5,3,3,2,3,4,2,2,3,3,4,3,3,4,4,4,4,2,4,3,4,4,4,3,3,2,4,4,3,4,4,4,3,4,2,3,4,4
2019/05/23 12:11:52 AM GMT+2,0,4,4,5,4,2,1,2,2,3,3,4,2,4,5,3,4,4,4,4,4,5,4,2,2,2,2,2,4,3,4,4,3,4,4,2,5,4,4,3,2
2019/05/24 1:10:27 PM GMT+2,1,1,2,5,5,4,3,1,1,4,1,4,3,4,3,4,5,5,5,4,4,5,1,5,1,4,2,4,4,5,5,2,3,3,5,3,5,4,4,2,1
2019/05/25 3:17:56 PM GMT+2,2,3,4,4,4,4,3,4,4,3,3,3,3,3,4,3,3,3,4,3,4,3,4,3,2,4,4,4,3,4,4,3,3,4,5,4,4,3,3,3,3
2019/05/26 10:42:33 AM GMT+2,1,4,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,5,5,4,4,5,5,4,4,4,4,3,4,5,5,4,4,5,5,5,5,3,3,3,3
2019/05/26 11:32:40 AM GMT+2,1,5,2,5,3,5,3,5,2,5,4,5,3,5,4,5,4,5,4,5,2,5,4,5,4,5,2,4,3,5,4,5,4,5,5,5,5,5,5,5,4
,,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1
,,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,20,20
